"_id","category","content","created_time","title"
"5d67f8083c6b180d8b73a9f0","前端技术","一、client系列<br />　　clientWidth/clientHeight    是我们设置的宽和高加上内边距（没有边框）<br />　　clientLeft/clientTop　　就是我们设置的边框值<br />二、offset系列<br />　　offsetWidth/offsetHeight　　是我们设置的宽和高加上内边距，加上边框<br />　　offsetLeft/offsetTop　　是元素外边距离父级内边距相对于父级，这个父级由定位position：absolute；<br />　　offsetParent　　返回这个元素的父级元素<br />　　offsetTop　参照由父级身上的position：absolute/fixed，如果父级元素身上没有就逐层向上查找，直到body<br />三、scroll系列<br />　scrollWidth/scrollHeight　　就是我们设置的宽和高加内边<br />   scrollLeft/scrollTop　　滚动条卷走的高度","29/8/2019 16:06:32.242","client scroll offset区别"
"5d6bf7993c6b180d8b73a9f3","前端技术","由于我日常生活为了标签的同步使用了QQ浏览器，但是加载某些网页时会默认使用IE内核，为了让其使用<br />chrome内核我调整了浏览器设置<br />但是在连接学校WIFI时候却出现了异常，点击登录后无限重定向，在改回混合内核之后就好了。<br />可能是因为login界面没有ssl证书的原因吧","1/9/2019 16:53:45.202","开学了，学校wifi连接异常"
"5d710e1c3c6b180d8b73a9f6","前端技术","1.1强缓存<br />直接使用浏览器的缓存数据，不会再向服务器发送任何请求<br />1.2、协商缓存<br />当第一次请求时服务器返回的响应头中没有Cache-Control和Expires或者Cache-Control和Expires过期还或者它的属性设置为no-cache时(即不走强缓存)","5/9/2019 13:31:08.119","强缓存，协商缓存"
"5d7bd9183c6b180d8b73aa07","个人随笔","转眼之间大学3年生活都过去了，我看了看社会上对人才的需求，很有感慨。现在大学学的知识可以说和社会很脱节，学校学的都是基础理论，但是实际中都讲究应用，毕了业之后，有的人可能什么都不会。这时候自我驱动学习的能力就很重要，在学校学习的时候，不能想老师和学校能给你太多，如果有追求，一定要抓住时间，学习最新的技术。","13/9/2019 17:59:52.501","大学学习的一些思考"
"5d88dcc43c6b180d8b73aa0a","前端技术","  var arr=[1,2,3,2,5];<br />            console.log(arr.map(parseInt));//[1, NaN, NaN, 2, NaN]<br />            // arr.map方法就是对于数组arr里面的每一项都去使用方法里面的函数,最后返回新数组<br />            // 因为map方法会有索引,所以实际上就是 <br />            parseInt(1,0);//1,因为0表示十进制<br />            parseInt(2,1);//1进制&lt;2，所以错!<br />            parseInt(3,2);// 2进制,但是3不在0——2范围内(3应该改为11),所以不符合2进制要求<br />            parseInt(2,3);//符合,因为三进制是0-3,而2在范围内<br />            parseInt(5,4);//4进制不包括5,所以NaN","23/9/2019 14:55:00.55","arr.map"
"5d9c996c3c6b180d8b73aa0d","前端技术","1.HTTP的URL为http://开头，HTTPS的URL为https://开头<br />2.HTTP标准端口80，HTTPS标准端口是443<br />3.HTTP是不安全的，而HTTPS是安全的<br />4.HTTP无法加密，而HTTPS对传输的数据进行加密<br />5.HTTP无需证书，HTTPS需要CA机构wosign颁发的SSL证书","8/10/2019 14:13:00.622","HTTP与HTTPS的不同"
"5d9ded723c6b180d8b73aa0e","前端技术","同样是检测对象obj调用toString方法（关于toString()方法的用法的可以参考toString的详解），obj.toString()的结果和Object.prototype.toString.call(obj)的结果不一样，这是为什么？<br /><br />        这是因为toString为Object的原型方法，而Array 、Function等类型作为Object的实例，都重写了toString方法。不同的对象类型调用toString方法时，根据原型链的知识，调用的是对应的重写之后的toString方法（Function类型返回内容为函数体的字符串，Array类型返回元素组成的字符串.....），而不会去调用Object上原型toString方法（返回对象的具体类型），所以采用obj.toString()不能得到其对象类型，只能将obj转换为字符串类型；因此，在想要得到对象的具体类型时，应该调用Object上原型toString方法。","9/10/2019 14:23:46.565","为什么用Object.prototype.toString.call(obj)可以检测对象类型"
"5dadb3ba3c6b180d8b73aa11","前端技术","Error in event handler for runtime.onMessage: TypeError: Cannot read property 'join' of undefined
    at Object.getPageLang<br/>
我感觉是插件的报错，但是找不到源头还是，如果有解决方案可以在底下给我留言","21/10/2019 13:33:46.278","每次f12总会报错，寻求答案！"
"5db6cbf93c6b180d8b73aa12","前端技术","查阅了一下资料：<br/>
keep-alive：从HTTP/1.1起，浏览器默认都开启了Keep-Alive，保持连接特性，客户端和服务器都能选择随时关闭连接，则请求头中为connection:close。简单地说，当一个网页打开完成后，客户端和服务器之间用于传输HTTP数据的TCP连接不会关闭，如果客户端再次访问这个服务器上的网页，会继续使用这一条已经建立的TCP连接。但是Keep-Alive不会永久保持连接，它有一个保持时间，可以在不同的服务器软件（如Apache）中设定这个时间。","28/10/2019 11:07:37.649","关于请求头中connection: keep-alive"
"5dc032e33c6b180d8b73aa14","前端技术","博客目前有几个问题，一个是博客没有使用Token进行管理，第二个是富文本需要实现，这里面可能要去看英文文档，还有一个问题，8月时的博客上线流程应该存在一些问题，比如当时没有用pm2，守护进程的地方也出了一点问题，当时竟然是通过nohup ./mongod &这样可能是hack操作让数据库在我退出命令行后还能运行，还有就是mate标签有一些问题，以及没有买域名，博客的seo问题似乎也可以用nuxt.js解决，还有一个就是博客的功能，可以添加一些，因为做这个博客的初衷其实是希望能帮到更多热爱前端的人，从博客内容上我可能暂时没有什么时间写文章，但是一路走来不易，自己的话还是学到了很多东西，以及自学的过程，我把这些分享出去，可以帮助到更多的人。这些问题在我闲下来时我会一一解决掉，maybe Dec?。","4/11/2019 14:17:07.03","一直没有时间更新博客，在准备重构博客"
